time,x_rms,x_freq_0,x_mag_0,x_freq_1,x_mag_1,x_freq_2,x_mag_2,y_rms,y_freq_0,y_mag_0,y_freq_1,y_mag_1,y_freq_2,y_mag_2,z_rms,z_freq_0,z_mag_0,z_freq_1,z_mag_1,z_freq_2,z_mag_2 
50993,3.9813,198.4375,13.4495,78.1250,10.7173,190.6250,9.8827,6.8178,135.9375,23.9173,198.4375,23.1956,176.5625,20.8432,10.3950,199.2188,29.7579,121.8750,28.7026,138.2812,28.5146
52219,4.1254,130.4688,13.0389,131.2500,10.3147,90.6250,9.9616,7.0021,145.3125,23.6869,199.2188,23.1162,192.9688,22.3836,10.8520,145.3125,31.5597,124.2188,31.2778,199.2188,29.4354
53494,4.2565,32.0312,11.7158,37.5000,10.4770,114.8438,10.2208,6.5965,199.2188,23.0792,85.9375,16.8486,114.0625,16.8249,9.9959,196.0938,29.7935,24.2188,26.9711,44.5312,26.0473
54770,3.9325,103.9062,13.2106,115.6250,10.5591,132.8125,10.4884,7.2638,182.8125,21.3678,161.7188,21.3427,198.4375,20.5648,10.5142,123.4375,37.3832,46.0938,28.1497,138.2812,26.6491
56045,4.0327,75.7812,11.3135,112.5000,11.0300,68.7500,10.4876,6.6234,197.6562,24.7462,196.0938,23.7472,154.6875,23.3876,9.8243,121.0938,30.7204,125.7812,28.7601,133.5938,25.4906
57321,4.3180,17.9688,10.5507,37.5000,10.3054,75.0000,10.1544,6.6425,153.9062,19.7636,62.5000,17.1799,115.6250,16.9714,10.3867,123.4375,35.7474,130.4688,32.6054,111.7188,29.6517
58595,4.5128,89.8438,14.9970,88.2812,11.9437,75.7812,10.8421,7.4104,0.0000,26.4130,92.1875,21.9180,5.4688,19.6290,11.9083,0.0000,61.0000,130.4688,47.5612,146.0938,37.4319
59823,4.3652,92.1875,11.3439,106.2500,10.8487,142.1875,10.3190,6.5533,0.0000,20.8620,192.1875,20.0127,172.6562,18.7160,10.4807,0.0000,39.1620,130.4688,35.8627,138.2812,35.0405
61098,4.2162,46.0938,12.4737,131.2500,10.4494,36.7188,10.4364,6.4691,123.4375,19.1952,95.3125,18.3740,139.0625,18.2376,10.6623,139.0625,42.7894,196.8750,39.7155,123.4375,37.7863
62374,4.3819,72.6562,12.6472,92.1875,11.4572,160.1562,10.4551,7.0378,92.1875,31.9278,129.6875,22.4957,37.5000,19.5692,10.3178,130.4688,47.5298,122.6562,35.8365,138.2812,33.7732
63648,4.2871,62.5000,13.3510,54.6875,13.2593,51.5625,10.8491,7.3716,189.0625,25.7524,196.8750,25.5411,181.2500,21.6868,11.3325,138.2812,39.0084,122.6562,30.3774,84.3750,30.2736
64924,4.5975,80.4688,11.8760,49.2188,11.6304,166.4062,11.5904,6.7030,84.3750,19.6707,156.2500,19.3964,167.9688,18.1250,10.5971,130.4688,37.4036,131.2500,35.9039,138.2812,30.2870
66201,4.6538,53.9062,13.7751,84.3750,13.0735,67.1875,12.5636,7.0754,167.1875,22.9805,169.5312,21.7120,173.4375,18.5525,11.2976,115.6250,44.9521,53.9062,33.2030,146.0938,32.7670
67426,4.4331,131.2500,13.2908,118.7500,11.1253,76.5625,10.9320,6.5298,185.1562,19.5785,138.2812,18.3547,177.3438,15.9780,11.0398,138.2812,36.4680,130.4688,34.0458,131.2500,33.5257
68701,4.3662,174.2188,10.6055,0.0000,10.5530,41.4062,10.4581,6.7700,169.5312,19.2755,125.0000,17.9151,132.0312,17.4862,10.9890,146.0938,43.4220,138.2812,34.8943,130.4688,32.4290
69976,4.4915,116.4062,13.7972,119.5312,11.0872,190.6250,10.5678,6.7253,196.8750,21.9013,107.0312,17.7466,124.2188,17.3727,10.1214,123.4375,36.7412,194.5312,32.2680,61.7188,30.7719
71253,4.2128,48.4375,12.2732,95.3125,11.5978,13.2812,10.1596,6.8588,131.2500,28.7209,114.8438,21.8549,137.5000,21.5475,10.4355,138.2812,42.8815,130.4688,36.9045,124.2188,28.3950
72527,4.5353,0.0000,13.6030,90.6250,11.1851,100.0000,10.7008,7.0259,132.0312,18.8204,139.0625,18.2123,156.2500,17.5668,10.3037,46.0938,30.7619,7.8125,29.4730,146.0938,29.2112
73801,4.2500,84.3750,13.9190,49.2188,10.1199,110.9375,9.7609,7.0740,115.6250,21.9328,147.6562,19.7650,199.2188,19.2423,10.9673,0.0000,35.9901,123.4375,35.2199,194.5312,33.2336
75029,4.0664,155.4688,10.8534,122.6562,9.7224,85.9375,9.5997,7.0118,190.6250,27.4850,171.0938,24.4891,114.8438,19.6510,9.5281,122.6562,37.3862,130.4688,34.7365,16.4062,27.8226
76304,4.0669,78.9062,11.8315,95.3125,10.6456,171.8750,9.7618,6.4876,187.5000,21.1850,122.6562,20.5726,63.2812,16.9185,10.6003,138.2812,41.9778,127.3438,39.2889,197.6562,38.3617
77579,4.1519,0.0000,11.2240,115.6250,10.8474,97.6562,9.5637,7.0896,153.1250,23.7614,0.0000,21.1670,198.4375,18.5381,10.0465,142.9688,32.8875,115.6250,32.7102,0.0000,30.4390
78854,4.0505,103.9062,13.4200,115.6250,12.2899,182.0312,11.6253,6.6194,198.4375,18.4094,194.5312,18.0480,166.4062,17.8311,9.9143,122.6562,37.1768,0.0000,27.2670,143.7500,26.3742
80130,4.1434,192.9688,10.8800,107.8125,10.8623,106.2500,10.8205,6.6078,190.6250,22.4594,196.8750,21.4570,161.7188,20.5081,10.0906,121.8750,37.7282,146.0938,34.5317,122.6562,31.0212
81405,4.1877,91.4062,10.6572,69.5312,10.0611,53.1250,10.0049,6.7655,161.7188,23.1306,197.6562,20.9768,129.6875,17.8471,11.1427,124.2188,34.4846,192.1875,31.3224,138.2812,27.3114
82630,4.1147,78.9062,10.6638,187.5000,9.9047,30.4688,9.6313,6.9829,158.5938,23.4444,123.4375,20.5240,144.5312,18.5879,10.2789,123.4375,29.7817,130.4688,26.8848,128.9062,26.2859
83906,4.1348,106.2500,11.2022,171.0938,10.7397,22.6562,10.3774,6.6149,184.3750,21.6367,152.3438,18.4850,168.7500,18.4358,10.0811,121.8750,28.5905,130.4688,25.7647,6.2500,25.3446
85182,3.9936,115.6250,13.3622,130.4688,10.1626,184.3750,9.7955,7.0221,0.0000,30.1340,117.1875,22.8002,192.1875,20.9657,9.9960,161.7188,35.5850,192.1875,34.8195,115.6250,27.4288
86456,3.9868,8.5938,10.3742,125.0000,10.1360,114.8438,10.0107,6.4320,184.3750,24.2496,152.3438,17.9494,114.0625,17.8126,9.9622,121.0938,33.0243,113.2812,33.0105,185.1562,28.3184
87731,4.5484,69.5312,13.6060,75.0000,13.3718,85.9375,12.8205,7.1304,138.2812,20.5722,146.8750,18.8509,190.6250,18.5825,10.8371,146.0938,30.9317,130.4688,29.9502,79.6875,29.6821
89007,4.5068,89.0625,15.5789,171.8750,15.4745,121.8750,12.1287,6.5633,193.7500,21.2940,135.1562,19.3025,198.4375,18.4125,10.0064,131.2500,35.0737,192.1875,29.2028,153.9062,28.5951
90234,4.1848,199.2188,13.3030,100.0000,11.5574,88.2812,11.3683,6.7613,196.0938,19.9331,160.1562,17.9497,197.6562,17.8198,10.5990,132.8125,31.4012,154.6875,31.1155,115.6250,30.4517
91509,4.3684,197.6562,15.3995,190.6250,13.2402,198.4375,11.6739,6.6940,146.8750,18.0212,113.2812,17.2987,105.4688,17.1428,10.7628,139.8438,34.8001,0.0000,34.2820,122.6562,33.6794
92784,4.3416,81.2500,13.5304,133.5938,11.7056,169.5312,11.2803,6.5475,177.3438,20.4927,182.0312,19.0467,189.8438,17.6664,10.3791,142.1875,30.6839,151.5625,28.1333,199.2188,27.8859
94059,4.0540,123.4375,14.5991,92.1875,13.2410,122.6562,12.6879,6.3016,139.0625,21.4262,198.4375,20.2737,193.7500,18.5216,9.6248,121.8750,33.2815,114.0625,31.7407,160.9375,30.7953
95335,4.1058,94.5312,13.4667,117.1875,11.3521,120.3125,11.0311,7.1602,152.3438,22.5920,188.2812,22.5753,168.7500,20.4389,9.7966,0.0000,36.9660,147.6562,29.9561,155.4688,27.5864
96609,4.4371,84.3750,14.0276,115.6250,13.2682,114.8438,11.4442,6.8741,197.6562,29.8778,161.7188,21.7452,94.5312,20.3273,10.6569,125.0000,36.1273,0.0000,35.7460,153.9062,29.9561
97835,4.0916,146.8750,12.2540,117.1875,11.8547,92.1875,11.3823,6.6902,187.5000,20.6305,198.4375,18.5461,193.7500,18.3669,10.7216,167.9688,34.0480,175.7812,31.3566,146.0938,29.2505
99110,4.1690,114.8438,12.2795,107.8125,11.6188,68.7500,10.6905,6.3953,122.6562,20.9234,146.0938,17.5792,159.3750,17.4472,10.1711,130.4688,38.7200,132.0312,34.8041,0.0000,32.0860
100386,4.2779,185.1562,11.0824,23.4375,10.3070,38.2812,9.6788,7.1232,0.0000,22.8750,192.9688,21.8641,121.0938,20.4862,9.8307,115.6250,35.0164,123.4375,34.4688,185.9375,29.9072
101660,4.2748,114.8438,13.3608,125.0000,11.7505,100.0000,11.2240,6.7664,199.2188,23.2795,192.9688,22.0583,153.9062,19.6941,10.3212,132.0312,31.2168,7.0312,28.7527,192.1875,27.6001
